1;AC/DC For Those About To Rock We Salute You
2;Accept Balls to the Wall
3;Accept Restless and Wild
4;AC/DC Let There Be Rock
5;Aerosmith Big Ones
6;Alanis Morissette Jagged Little Pill
7;Alice In Chains Facelift
8;Antônio Carlos Jobim Warner 25 Anos
9;Apocalyptica Plays Metallica By Four Cellos
10;Audioslave Audioslave
11;Audioslave Out Of Exile
12;BackBeat BackBeat Soundtrack
13;Billy Cobham The Best Of Billy Cobham
14;Black Label Society Alcohol Fueled Brewtality Live! [Disc 1]
15;Black Label Society Alcohol Fueled Brewtality Live! [Disc 2]
16;Black Sabbath Black Sabbath
17;Black Sabbath Black Sabbath Vol. 4 (Remaster)
18;Body Count Body Count
19;Bruce Dickinson Chemical Wedding
20;Buddy Guy The Best Of Buddy Guy - The Millenium Collection
21;Caetano Veloso Prenda Minha
22;Caetano Veloso Sozinho Remix Ao Vivo
23;Chico Buarque Minha Historia
24;Chico Science & Nação Zumbi Afrociberdelia
25;Chico Science & Nação Zumbi Da Lama Ao Caos
26;Cidade Negra Acústico MTV [Live]
27;Cidade Negra Cidade Negra - Hits
28;Cláudio Zoli Na Pista
29;Various Artists Axé Bahia 2001
30;Led Zeppelin BBC Sessions [Disc 1] [Live]
31;Frank Zappa & Captain Beefheart Bongo Fury
32;Various Artists Carnaval 2001
33;Marcos Valle Chill: Brazil (Disc 1)
34;Antônio Carlos Jobim Chill: Brazil (Disc 2)
35;Metallica Garage Inc. (Disc 1)
36;Queen Greatest Hits II
37;Kiss Greatest Kiss
38;Spyro Gyra Heart of the Night
39;Green Day International Superhits
40;David Coverdale Into The Light
41;Gonzaguinha Meus Momentos
42;Os Mutantes Minha História
43;Deep Purple MK III The Final Concerts [Disc 1]
44;Led Zeppelin Physical Graffiti [Disc 1]
45;Various Artists Sambas De Enredo 2001
46;Santana Supernatural
47;Ed Motta The Best of Ed Motta
48;Miles Davis The Essential Miles Davis [Disc 1]
49;Miles Davis The Essential Miles Davis [Disc 2]
50;Deep Purple The Final Concerts (Disc 2)
51;Gene Krupa Up An' Atom
52;Toquinho & Vinícius Vinícius De Moraes - Sem Limite
53;Various Artists Vozes do MPB
54;Creedence Clearwater Revival Chronicle, Vol. 1
55;Creedence Clearwater Revival Chronicle, Vol. 2
56;Cássia Eller Cássia Eller - Coleção Sem Limite [Disc 2]
57;Cássia Eller Cássia Eller - Sem Limite [Disc 1]
58;Deep Purple Come Taste The Band
59;Deep Purple Deep Purple In Rock
60;Deep Purple Fireball
